2026-04-15 23:57:33 | src.data.loader | INFO     | Successfully loaded 10999 rows from e_commerce_shipping_data.csv
2026-04-15 23:57:33 | src.data.cleaning | INFO     | Starting cleaning. Initial shape: (10999, 12)
2026-04-15 23:57:33 | src.data.cleaning | INFO     | Renamed columns...
2026-04-15 23:57:33 | src.data.cleaning | INFO     | Columns after renaming: ['id', 'warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-15 23:57:33 | src.data.cleaning | INFO     | Removing unnecessary columns...
2026-04-15 23:57:33 | src.data.cleaning | INFO     | Dropped 'id' column...
2026-04-15 23:57:33 | src.data.cleaning | INFO     | No duplicates found.
2026-04-15 23:57:33 | src.data.cleaning | INFO     | Final columns: ['warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-15 23:57:33 | src.data.cleaning | INFO     | Cleaning completed. Final shape: (10999, 11)
2026-04-16 00:00:59 | src.data.loader | INFO     | Successfully loaded 10999 rows from e_commerce_shipping_data.csv
2026-04-16 00:00:59 | src.data.cleaning | INFO     | Starting cleaning. Initial shape: (10999, 12)
2026-04-16 00:00:59 | src.data.cleaning | INFO     | Renamed columns...
2026-04-16 00:00:59 | src.data.cleaning | INFO     | Columns after renaming: ['id', 'warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-16 00:00:59 | src.data.cleaning | INFO     | Removing unnecessary columns...
2026-04-16 00:00:59 | src.data.cleaning | INFO     | Dropped 'id' column...
2026-04-16 00:00:59 | src.data.cleaning | INFO     | No duplicates found.
2026-04-16 00:00:59 | src.data.cleaning | INFO     | Final columns: ['warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-16 00:00:59 | src.data.cleaning | INFO     | Cleaning completed. Final shape: (10999, 11)
2026-04-16 00:01:32 | src.data.loader | INFO     | Successfully loaded 10999 rows from e_commerce_shipping_data.csv
2026-04-16 00:01:32 | src.data.cleaning | INFO     | Starting cleaning. Initial shape: (10999, 12)
2026-04-16 00:01:32 | src.data.cleaning | INFO     | Renamed columns...
2026-04-16 00:01:32 | src.data.cleaning | INFO     | Columns after renaming: ['id', 'warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-16 00:01:32 | src.data.cleaning | INFO     | Removing unnecessary columns...
2026-04-16 00:01:32 | src.data.cleaning | INFO     | Dropped 'id' column...
2026-04-16 00:01:32 | src.data.cleaning | INFO     | No duplicates found.
2026-04-16 00:01:32 | src.data.cleaning | INFO     | Final columns: ['warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-16 00:01:32 | src.data.cleaning | INFO     | Cleaning completed. Final shape: (10999, 11)
2026-04-16 00:02:16 | src.data.loader | INFO     | Successfully loaded 10999 rows from e_commerce_shipping_data.csv
2026-04-16 00:02:16 | src.data.cleaning | INFO     | Starting cleaning. Initial shape: (10999, 12)
2026-04-16 00:02:16 | src.data.cleaning | INFO     | Renamed columns...
2026-04-16 00:02:16 | src.data.cleaning | INFO     | Columns after renaming: ['id', 'warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-16 00:02:16 | src.data.cleaning | INFO     | Removing unnecessary columns...
2026-04-16 00:02:16 | src.data.cleaning | INFO     | Dropped 'id' column...
2026-04-16 00:02:16 | src.data.cleaning | INFO     | No duplicates found.
2026-04-16 00:02:16 | src.data.cleaning | INFO     | Final columns: ['warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-16 00:02:16 | src.data.cleaning | INFO     | Cleaning completed. Final shape: (10999, 11)
2026-04-16 00:03:19 | src.data.loader | INFO     | Successfully loaded 10999 rows from e_commerce_shipping_data.csv
2026-04-16 00:03:19 | src.data.cleaning | INFO     | Starting cleaning. Initial shape: (10999, 12)
2026-04-16 00:03:19 | src.data.cleaning | INFO     | Renamed columns...
2026-04-16 00:03:19 | src.data.cleaning | INFO     | Columns after renaming: ['id', 'warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-16 00:03:19 | src.data.cleaning | INFO     | Removing unnecessary columns...
2026-04-16 00:03:19 | src.data.cleaning | INFO     | Dropped 'id' column...
2026-04-16 00:03:19 | src.data.cleaning | INFO     | No duplicates found.
2026-04-16 00:03:19 | src.data.cleaning | INFO     | Final columns: ['warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-16 00:03:19 | src.data.cleaning | INFO     | Cleaning completed. Final shape: (10999, 11)
2026-04-16 00:03:39 | src.data.loader | INFO     | Successfully loaded 10999 rows from e_commerce_shipping_data.csv
2026-04-16 00:03:39 | src.data.cleaning | INFO     | Starting cleaning. Initial shape: (10999, 12)
2026-04-16 00:03:39 | src.data.cleaning | INFO     | Renamed columns...
2026-04-16 00:03:39 | src.data.cleaning | INFO     | Columns after renaming: ['id', 'warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-16 00:03:39 | src.data.cleaning | INFO     | Removing unnecessary columns...
2026-04-16 00:03:39 | src.data.cleaning | INFO     | Dropped 'id' column...
2026-04-16 00:03:39 | src.data.cleaning | INFO     | No duplicates found.
2026-04-16 00:03:39 | src.data.cleaning | INFO     | Final columns: ['warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-16 00:03:39 | src.data.cleaning | INFO     | Cleaning completed. Final shape: (10999, 11)
2026-04-16 00:25:24 | src.data.loader | INFO     | Successfully loaded 10999 rows from e_commerce_shipping_data.csv
2026-04-16 00:25:24 | src.data.cleaning | INFO     | Starting cleaning. Initial shape: (10999, 12)
2026-04-16 00:25:24 | src.data.cleaning | INFO     | Renamed columns...
2026-04-16 00:25:24 | src.data.cleaning | INFO     | Columns after renaming: ['id', 'warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-16 00:25:24 | src.data.cleaning | INFO     | Removing unnecessary columns...
2026-04-16 00:25:24 | src.data.cleaning | INFO     | Dropped 'id' column...
2026-04-16 00:25:24 | src.data.cleaning | INFO     | No duplicates found.
2026-04-16 00:25:24 | src.data.cleaning | INFO     | Final columns: ['warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-16 00:25:24 | src.data.cleaning | INFO     | Cleaning completed. Final shape: (10999, 11)
2026-04-16 00:26:03 | src.data.loader | INFO     | Successfully loaded 10999 rows from e_commerce_shipping_data.csv
2026-04-16 00:26:03 | src.data.cleaning | INFO     | Starting cleaning. Initial shape: (10999, 12)
2026-04-16 00:26:03 | src.data.cleaning | INFO     | Renamed columns...
2026-04-16 00:26:03 | src.data.cleaning | INFO     | Columns after renaming: ['id', 'warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-16 00:26:03 | src.data.cleaning | INFO     | Removing unnecessary columns...
2026-04-16 00:26:03 | src.data.cleaning | INFO     | Dropped 'id' column...
2026-04-16 00:26:03 | src.data.cleaning | INFO     | No duplicates found.
2026-04-16 00:26:03 | src.data.cleaning | INFO     | Final columns: ['warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-16 00:26:03 | src.data.cleaning | INFO     | Cleaning completed. Final shape: (10999, 11)
2026-04-16 00:26:24 | src.data.loader | INFO     | Successfully loaded 10999 rows from e_commerce_shipping_data.csv
2026-04-16 00:26:24 | src.data.cleaning | INFO     | Starting cleaning. Initial shape: (10999, 12)
2026-04-16 00:26:24 | src.data.cleaning | INFO     | Renamed columns...
2026-04-16 00:26:24 | src.data.cleaning | INFO     | Columns after renaming: ['id', 'warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-16 00:26:24 | src.data.cleaning | INFO     | Removing unnecessary columns...
2026-04-16 00:26:24 | src.data.cleaning | INFO     | Dropped 'id' column...
2026-04-16 00:26:24 | src.data.cleaning | INFO     | No duplicates found.
2026-04-16 00:26:24 | src.data.cleaning | INFO     | Final columns: ['warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-16 00:26:24 | src.data.cleaning | INFO     | Cleaning completed. Final shape: (10999, 11)
2026-04-16 00:26:42 | src.data.loader | INFO     | Successfully loaded 10999 rows from e_commerce_shipping_data.csv
2026-04-16 00:26:42 | src.data.cleaning | INFO     | Starting cleaning. Initial shape: (10999, 12)
2026-04-16 00:26:42 | src.data.cleaning | INFO     | Renamed columns...
2026-04-16 00:26:42 | src.data.cleaning | INFO     | Columns after renaming: ['id', 'warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-16 00:26:42 | src.data.cleaning | INFO     | Removing unnecessary columns...
2026-04-16 00:26:42 | src.data.cleaning | INFO     | Dropped 'id' column...
2026-04-16 00:26:42 | src.data.cleaning | INFO     | No duplicates found.
2026-04-16 00:26:42 | src.data.cleaning | INFO     | Final columns: ['warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-16 00:26:42 | src.data.cleaning | INFO     | Cleaning completed. Final shape: (10999, 11)
2026-04-16 00:37:11 | src.data.loader | INFO     | Successfully loaded 10999 rows from e_commerce_shipping_data.csv
2026-04-16 00:37:11 | src.data.cleaning | INFO     | Starting cleaning. Initial shape: (10999, 12)
2026-04-16 00:37:11 | src.data.cleaning | INFO     | Renamed columns...
2026-04-16 00:37:11 | src.data.cleaning | INFO     | Columns after renaming: ['id', 'warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-16 00:37:11 | src.data.cleaning | INFO     | Removing unnecessary columns...
2026-04-16 00:37:11 | src.data.cleaning | INFO     | Dropped 'id' column...
2026-04-16 00:37:11 | src.data.cleaning | INFO     | No duplicates found.
2026-04-16 00:37:11 | src.data.cleaning | INFO     | Final columns: ['warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-16 00:37:11 | src.data.cleaning | INFO     | Cleaning completed. Final shape: (10999, 11)
2026-04-16 00:40:07 | src.data.loader | INFO     | Successfully loaded 10999 rows from e_commerce_shipping_data.csv
2026-04-16 00:40:07 | src.data.cleaning | INFO     | Starting cleaning. Initial shape: (10999, 12)
2026-04-16 00:40:07 | src.data.cleaning | INFO     | Renamed columns...
2026-04-16 00:40:07 | src.data.cleaning | INFO     | Columns after renaming: ['id', 'warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-16 00:40:07 | src.data.cleaning | INFO     | Removing unnecessary columns...
2026-04-16 00:40:07 | src.data.cleaning | INFO     | Dropped 'id' column...
2026-04-16 00:40:07 | src.data.cleaning | INFO     | No duplicates found.
2026-04-16 00:40:07 | src.data.cleaning | INFO     | Final columns: ['warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-16 00:40:07 | src.data.cleaning | INFO     | Cleaning completed. Final shape: (10999, 11)
2026-04-16 00:41:05 | src.data.loader | INFO     | Successfully loaded 10999 rows from e_commerce_shipping_data.csv
2026-04-16 00:41:05 | src.data.cleaning | INFO     | Starting cleaning. Initial shape: (10999, 12)
2026-04-16 00:41:05 | src.data.cleaning | INFO     | Renamed columns...
2026-04-16 00:41:05 | src.data.cleaning | INFO     | Columns after renaming: ['id', 'warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-16 00:41:05 | src.data.cleaning | INFO     | Removing unnecessary columns...
2026-04-16 00:41:05 | src.data.cleaning | INFO     | Dropped 'id' column...
2026-04-16 00:41:05 | src.data.cleaning | INFO     | No duplicates found.
2026-04-16 00:41:05 | src.data.cleaning | INFO     | Final columns: ['warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-16 00:41:05 | src.data.cleaning | INFO     | Cleaning completed. Final shape: (10999, 11)
2026-04-16 00:42:21 | src.data.loader | INFO     | Successfully loaded 10999 rows from e_commerce_shipping_data.csv
2026-04-16 00:42:21 | src.data.cleaning | INFO     | Starting cleaning. Initial shape: (10999, 12)
2026-04-16 00:42:21 | src.data.cleaning | INFO     | Renamed columns...
2026-04-16 00:42:21 | src.data.cleaning | INFO     | Columns after renaming: ['id', 'warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-16 00:42:21 | src.data.cleaning | INFO     | Removing unnecessary columns...
2026-04-16 00:42:21 | src.data.cleaning | INFO     | Dropped 'id' column...
2026-04-16 00:42:21 | src.data.cleaning | INFO     | No duplicates found.
2026-04-16 00:42:21 | src.data.cleaning | INFO     | Final columns: ['warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-16 00:42:21 | src.data.cleaning | INFO     | Cleaning completed. Final shape: (10999, 11)
2026-04-16 01:52:26 | src.data.loader | INFO     | Successfully loaded 10999 rows from e_commerce_shipping_data.csv
2026-04-16 01:52:26 | src.data.cleaning | INFO     | Starting cleaning. Initial shape: (10999, 12)
2026-04-16 01:52:26 | src.data.cleaning | INFO     | Renamed columns...
2026-04-16 01:52:26 | src.data.cleaning | INFO     | Columns after renaming: ['id', 'warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-16 01:52:26 | src.data.cleaning | INFO     | Removing unnecessary columns...
2026-04-16 01:52:26 | src.data.cleaning | INFO     | Dropped 'id' column...
2026-04-16 01:52:26 | src.data.cleaning | INFO     | No duplicates found.
2026-04-16 01:52:26 | src.data.cleaning | INFO     | Final columns: ['warehouse_block', 'mode_of_shipment', 'customer_care_calls', 'customer_rating', 'cost_of_the_product', 'prior_purchases', 'product_importance', 'gender', 'discount_offered', 'weight_in_gms', 'reached_on_time']
2026-04-16 01:52:26 | src.data.cleaning | INFO     | Cleaning completed. Final shape: (10999, 11)
2026-04-16 01:52:26 | src.analysis.eda | INFO     | Starting full EDA...
2026-04-16 01:52:26 | src.analysis.eda | INFO     | Basic overview complete.
2026-04-16 01:52:26 | src.analysis.eda | INFO     | Target analysis complete.
2026-04-16 01:52:26 | src.analysis.eda | INFO     | Numerical features complete.
2026-04-16 01:52:26 | src.analysis.eda | INFO     | Categorical features complete.
2026-04-16 01:52:26 | src.analysis.eda | INFO     | Multicollinearity analysis complete.
2026-04-16 01:54:01 | src.data.loader | INFO     | Successfully loaded 10999 rows from e_commerce_shipping_data.csv
2026-04-16 01:54:01 | src.data.cleaning | INFO     | Starting cleaning. Initial shape: (10999, 12)
